word,severity,issafe
2g1c,sexual,false
2 girls 1 cup,sexual,false
acrotomophilia,sexual,false
alabama hot pocket,sexual,false
alaskan pipeline,sexual,false
anal,sexual,false
anilingus,sexual,false
anus,sexual,false
apeshit,profane,false
arsehole,profane,false
ass,profane,false
asshole,profane,false
assmunch,profane,false
auto erotic,sexual,false
autoerotic,sexual,false
babeland,sexual,false
baby batter,sexual,false
baby juice,sexual,false
ball gag,sexual,false
ball gravy,sexual,false
ball kicking,sexual,false
ball licking,sexual,false
ball sack,sexual,false
ball sucking,sexual,false
bangbros,sexual,false
bareback,sexual,false
barely legal,sexual,false
barenaked,sexual,false
bastard,profane,false
bastardo,profane,false
bastinado,profane,false
bbw,sexual,false
bdsm,sexual,false
beaner,offensive,false
beaners,offensive,false
beaver cleaver,sexual,false
beaver lips,sexual,false
bestiality,sexual,false
big black,sexual,false
big breasts,sexual,false
big knockers,sexual,false
big tits,sexual,false
bimbos,sexual,false
birdlock,profane,false
bitch,profane,false
bitches,profane,false
black cock,sexual,false
blonde action,sexual,false
blonde on blonde action,sexual,false
blowjob,sexual,false
blow job,sexual,false
blow your load,sexual,false
blue waffle,sexual,false
blumpkin,sexual,false
bollocks,profane,false
bondage,sexual,false
boner,sexual,false
boob,sexual,false
boobs,sexual,false
booty call,sexual,false
brown showers,sexual,false
brunette action,sexual,false
bukkake,sexual,false
bulldyke,offensive,false
bullet vibe,sexual,false
bullshit,profane,false
bung hole,sexual,false
bunghole,sexual,false
busty,sexual,false
butt,sexual,false
buttcheeks,sexual,false
butthole,sexual,false
camel toe,sexual,false
camgirl,sexual,false
camslut,sexual,false
camwhore,sexual,false
carpet muncher,sexual,false
carpetmuncher,sexual,false
chocolate rosebuds,sexual,false
circlejerk,sexual,false
cleveland steamer,sexual,false
clit,sexual,false
clitoris,sexual,false
clover clamps,sexual,false
clusterfuck,profane,false
cock,sexual,false
cocks,sexual,false
coprolagnia,sexual,false
coprophilia,sexual,false
cornhole,sexual,false
coon,offensive,false
coons,offensive,false
creampie,sexual,false
cum,sexual,false
cumming,sexual,false
cunnilingus,sexual,false
cunt,sexual,false
darkie,offensive,false
date rape,sexual,false
daterape,sexual,false
deep throat,sexual,false
deepthroat,sexual,false
dendrophilia,sexual,false
dick,sexual,false
dildo,sexual,false
dingleberry,sexual,false
dingleberries,sexual,false
dirty pillows,sexual,false
dirty sanchez,sexual,false
doggie style,sexual,false
doggiestyle,sexual,false
doggy style,sexual,false
doggystyle,sexual,false
dog style,sexual,false
dolcett,sexual,false
domination,sexual,false
dominatrix,sexual,false
dommes,sexual,false
donkey punch,sexual,false
double dong,sexual,false
double penetration,sexual,false
dp action,sexual,false
dry hump,sexual,false
dvda,sexual,false
eat my ass,sexual,false
ecchi,sexual,false
ejaculation,sexual,false
erotic,sexual,false
erotism,sexual,false
escort,sexual,false
eunuch,sexual,false
faggot,offensive,false
fecal,sexual,false
felch,sexual,false
fellatio,sexual,false
feltch,sexual,false
female squirting,sexual,false
femdom,sexual,false
figging,sexual,false
fingerbang,sexual,false
fingering,sexual,false
fisting,sexual,false
foot fetish,sexual,false
footjob,sexual,false
frotting,sexual,false
fuck,profane,false
fuck buttons,profane,false
fuckin,profane,false
fucking,profane,false
fucktards,profane,false
fudge packer,offensive,false
fudgepacker,offensive,false
futanari,sexual,false
gang bang,sexual,false
gay sex,sexual,false
genitals,sexual,false
giant cock,sexual,false
girl on,sexual,false
girl on top,sexual,false
girls gone wild,sexual,false
goatcx,sexual,false
goatse,sexual,false
god damn,profane,false
gokkun,sexual,false
golden shower,sexual,false
goodpoop,sexual,false
goo girl,sexual,false
goregasm,sexual,false
grope,sexual,false
group sex,sexual,false
g-spot,sexual,false
guro,sexual,false
hand job,sexual,false
handjob,sexual,false
hard core,sexual,false
hardcore,sexual,false
hentai,sexual,false
homoerotic,sexual,false
honkey,offensive,false
hooker,sexual,false
hot carl,sexual,false
hot chick,sexual,false
how to kill,offensive,false
how to murder,offensive,false
huge fat,offensive,false
humping,sexual,false
incest,sexual,false
intercourse,sexual,false
jack off,sexual,false
jail bait,sexual,false
jailbait,sexual,false
jelly donut,sexual,false
jerk off,sexual,false
jigaboo,offensive,false
jiggaboo,offensive,false
jiggerboo,offensive,false
jizz,sexual,false
juggs,sexual,false
kike,offensive,false
kinbaku,sexual,false
kinkster,sexual,false
kinky,sexual,false
knobbing,sexual,false
leather restraint,sexual,false
leather straight jacket,sexual,false
lemon party,sexual,false
lolita,sexual,false
lovemaking,sexual,false
make me come,sexual,false
male squirting,sexual,false
masturbate,sexual,false
menage a trois,sexual,false
milf,sexual,false
missionary position,sexual,false
motherfucker,profane,false
mound of venus,sexual,false
mr hands,sexual,false
muff diver,sexual,false
muffdiving,sexual,false
nambla,sexual,false
nawashi,sexual,false
negro,offensive,false
neonazi,offensive,false
nigga,offensive,false
nigger,offensive,false
nig nog,offensive,false
nimphomania,sexual,false
nipple,sexual,false
nipples,sexual,false
nsfw images,sexual,false
nude,sexual,false
nudity,sexual,false
nympho,sexual,false
nymphomania,sexual,false
octopussy,sexual,false
omorashi,sexual,false
one cup two girls,sexual,false
